sample,alpha,beta,coil
Alpha_0,0.0,0.0,1.0
Alpha_20,0.3286,0.0,0.6714
Alpha_40,0.7877,0.0,0.2123
Beta_0,0.0552,0.516,0.4289
Beta_20,0.0528,0.4798,0.4674
Beta_40,0.0664,0.4508,0.4828
